거래처,항목코드,중앙값,최빈값,최소,최대,건수,고유단가수,단가범위,표준단가,표준대비(%)
북펀딩,MA-03434,210000.0,210000.0,210000.0,210000.0,1,1,"210,000(고정)",,
북펀딩,MA-05049,63700.0,63700.0,63700.0,63700.0,1,1,"63,700(고정)",,
북펀딩,MA-06566,208700.0,208700.0,208700.0,208700.0,1,1,"208,700(고정)",,
북펀딩,MA00226,127000.0,127000.0,127000.0,128900.0,3,2,"127,000~128,900",,
북펀딩,MA00228,87000.0,87000.0,87000.0,87000.0,1,1,"87,000(고정)",,
북펀딩,MA00232,108800.0,108800.0,108800.0,108800.0,2,1,"108,800(고정)",,
북펀딩,MA00243,136200.0,136200.0,136200.0,136200.0,1,1,"136,200(고정)",,
북펀딩,MA00322,35760.0,35760.0,35760.0,35760.0,2,1,"35,760(고정)",,
북펀딩,MA00328,45570.0,45570.0,45570.0,45570.0,1,1,"45,570(고정)",,
북펀딩,MA00414,205000.0,205000.0,205000.0,205000.0,1,1,"205,000(고정)",,
북펀딩,MA00487,52300.0,52300.0,52300.0,52300.0,1,1,"52,300(고정)",,
북펀딩,MA00488,50700.0,50700.0,50700.0,50700.0,2,1,"50,700(고정)",,
북펀딩,MA00492,46200.0,46200.0,46200.0,46200.0,1,1,"46,200(고정)",,
북펀딩,MA00498,35750.0,34700.0,34700.0,36800.0,2,2,"34,700~36,800",,
북펀딩,MA00500,35763.0,35763.0,35763.0,35763.0,2,1,"35,763(고정)",,
북펀딩,MA00512,43022.0,43022.0,43022.0,43022.0,1,1,"43,022(고정)",,
북펀딩,MA00515,44300.0,44300.0,44300.0,44300.0,1,1,"44,300(고정)",,
북펀딩,MA00517,64000.0,64000.0,64000.0,64000.0,1,1,"64,000(고정)",,
북펀딩,MA00532,51850.0,51400.0,51400.0,52300.0,2,2,"51,400~52,300",,
북펀딩,MA00543,34720.0,34720.0,34720.0,34720.0,1,1,"34,720(고정)",,
북펀딩,MA00556,44250.0,44250.0,44250.0,44250.0,1,1,"44,250(고정)",,
북펀딩,MA00561,77500.0,77500.0,77500.0,77500.0,1,1,"77,500(고정)",,
북펀딩,MA00756,92660.0,92660.0,92660.0,92660.0,1,1,"92,660(고정)",,
북펀딩,MA00778,161150.0,161150.0,161150.0,161150.0,1,1,"161,150(고정)",,
북펀딩,MA00780,108800.0,108800.0,108800.0,108800.0,1,1,"108,800(고정)",,
북펀딩,MA00781,161100.0,161100.0,161100.0,161100.0,1,1,"161,100(고정)",,
북펀딩,MA00784,105720.0,105720.0,105720.0,111940.0,4,2,"105,720~111,940",,
북펀딩,MA00785,155000.0,154000.0,154000.0,156000.0,2,2,"154,000~156,000",,
북펀딩,MA00792,188000.0,188000.0,188000.0,188000.0,2,1,"188,000(고정)",,
북펀딩,MA01051,274000.0,274000.0,274000.0,274000.0,1,1,"274,000(고정)",,
북펀딩,MA01506,295500.0,295500.0,295500.0,295500.0,1,1,"295,500(고정)",,
북펀딩,MA02339,220000.0,220000.0,220000.0,220000.0,1,1,"220,000(고정)",,
북펀딩,OPP 봉투 포장작업,250.0,250.0,250.0,250.0,1,1,250(고정),,
북펀딩,띠지 수작업,100.0,100.0,100.0,100.0,1,1,100(고정),,
북펀딩,택배포장,100000.0,100000.0,100000.0,100000.0,2,1,"100,000(고정)",,
비춤 바인텍,303003,4000.0,4000.0,4000.0,4000.0,1,1,"4,000(고정)",,
비춤 바인텍,703002,6000.0,6000.0,6000.0,6000.0,1,1,"6,000(고정)",7000.0,-14.3
비춤 바인텍,MA00558,50300.0,50300.0,50300.0,50300.0,1,1,"50,300(고정)",,
사단법인 아이코리아,001001,60000.0,60000.0,50000.0,60000.0,20,2,"50,000~60,000",,
사단법인 아이코리아,303001,7000.0,6000.0,6000.0,8000.0,4,2,"6,000~8,000",2500.0,180.0
사단법인 아이코리아,303002,10000.0,10000.0,8000.0,10000.0,17,2,"8,000~10,000",2500.0,300.0
사단법인 아이코리아,703002,7000.0,7000.0,7000.0,7000.0,21,1,"7,000(고정)",7000.0,0.0
